route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,contract_id
807-202,NZB,807,807,,3,,,,,43
802-202,NZB,802,802,,3,,,,,43
814-202,NZB,814,814,,3,,,,,43
82-202,NZB,82,82,,3,,,,,44
83-203,RTH,83,83,,3,,,,,45
842-202,NZB,842,842,,3,,,,,44
843-202,NZB,843,843,,3,,,,,44
884-203,RTH,884,884,,3,,,,,34
845-203,RTH,845,845,,3,,,,,36
856-203,RTH,856,856,,3,,,,,45
861-203,RTH,861,861,,3,,,,,45
865-203,RTH,865,865,,3,,,,,45
866-203,RTH,866,866,,3,,,,,42
871-202,NZB,871,871,,3,,,,,44
878-203,RTH,878,878,,3,,,,,45
883-203,RTH,883,883,,3,,,,,34
989-218,BAYES,989,989,,3,,,,,471
995-203,RTH,995,995,,3,,,,,48
885-203,RTH,885,885,,3,,,,,34
CTY-202,NZB,CTY,CTY,,3,,E30613,FFFFFF,,1
DEV-209,FGL,DEV,DEV,,4,,00B1BF,FFFFFF,,802
EAST-201,AM,EAST,EAST,,2,,FDB913,152239,,TRAIN
FBGH-402,ATMB,FBGH,FBGH,,3,,,,,BUS
889-203,RTH,889,889,,3,,,,,34
901-203,RTH,901,901,,3,,,,,36
906-203,RTH,906,906,,3,,,,,36
907-203,RTH,907,907,,3,,,,,36
917-203,RTH,917,917,,3,,,,,35
923-202,NZB,923,923,,3,,,,,37
GULF-209,FGL,GULF,GULF,,4,,00B1BF,FFFFFF,,802
924-202,NZB,924,924,,3,,,,,37
HMB-209,FGL,HMB,HMB,,4,,00B1BF,FFFFFF,,802
HOBS-209,FGL,HOBS,HOBS,,4,,00B1BF,FFFFFF,,802
HUIA-404,WRC,HUIA,HUIA,,2,,000000,FFFFFF,,TRAIN
INN-202,NZB,INN,INN,,3,,56AF31,FFFFFF,,2
MEX-403,MEX,MEX,MEX,,3,,000000,FFFFFF,,BUS
926-203,RTH,926,926,,3,,,,,36
928-203,RTH,928,928,,3,,,,,36
931-203,RTH,931,931,,3,,,,,39
933-203,RTH,933,933,,3,,,,,39
939-203,RTH,939,939,,3,,,,,35
941-203,RTH,941,941,,3,,,,,38
942-203,RTH,942,942,,3,,,,,38
95B-203,RTH,95B,95B,,3,,,,,35
95C-203,RTH,95C,95C,,3,,,,,35
966-203,RTH,966,966,,3,,,,,39
97B-203,RTH,97B,97B,,3,,,,,39
97R-203,RTH,97R,97R,,3,,,,,39
981-221,GBT,981,981,,3,,,,,46
982-221,GBT,982,982,,3,,,,,46
983-221,GBT,983,983,,3,,,,,46
984-221,GBT,984,984,,3,,,,,46
MTAR-209,FGL,MTAR,MTAR,,4,,,,,FERRY
985-221,GBT,985,985,,3,,,,,46
986-221,GBT,986,986,,3,,,,,46
988-221,GBT,988,988,,3,,,,,46
996-203,RTH,996,996,,3,,,,,48
997-203,RTH,997,997,,3,,,,,48
998-203,RTH,998,998,,3,,,,,48
MTIA-209,FGL,MTIA,MTIA,,4,,00B1BF,FFFFFF,,FERRY
AIR-221,GBT,AIR,AIR,,3,,F39200,FFFFFF,,60
BAYS-240,EXPNZ,BAYS,BAYS,,4,,,,,811
BIRK-240,EXPNZ,BIRK,BIRK,,4,,,,,812
MTID-241,ID,MTID,MTID,,4,,,,,FERRY
FBHM-402,ATMB,FBHM,FBHM,,3,,,,,BUS
N10-221,GBT,N10,N10,,3,,,,,63
NX1-203,RTH,NX1,NX1,,3,,,,,40
NX2-207,TZG,NX2,NX2,,3,,,,,41
ONE-201,AM,ONE,ONE,,2,,00AEEF,FFFFFF,,TRAIN
OUT-202,NZB,OUT,OUT,,3,,F39200,FFFFFF,,18
PINE-210,SLPH,PINE,PINE,,4,,00B1BF,FFFFFF,,808
QODTAK-203,RTH,QODTAK,QODTAK,,3,,,,,70
RAK-211,BFL,RAK,RAK,,4,,000000,FFFFFF,,856
RANG-209,FGL,RANG,RANG,,4,,,,,FERRY
RBE-402,ATMB,RBE,RBE,,3,,FDB913,152239,,BUS
RBO-402,ATMB,RBO,RBO,,3,,00AEEF,FFFFFF,,BUS
RBS-402,ATMB,RBS,RBS,,3,,EE2E27,FFFFFF,,BUS
RBW-402,ATMB,RBW,RBW,,3,,97C93D,152239,,BUS
RBWN-402,ATMB,RBWN,RBWN,,3,,,,,BUS
STH-201,AM,STH,STH,,2,,EE2E27,FFFFFF,,TRAIN
TMK-202,NZB,TMK,TMK,,3,,0086C7,FFFFFF,,16
WEST-201,AM,WEST,WEST,,2,,97C93D,152239,,TRAIN
WSTH-211,BFL,WSTH,WSTH,,4,,00B1BF,FFFFFF,,810
WX1-206,PC,WX1,WX1,,3,,,,,27
